Team-year,AdjO,AdjD,AdjT,Win50,OppEM,OppO,OppD,OppEM
Eastern2022,101.2,88.9,76.8,2.8,1.5,97.2,95.7,1.4
Berry2022,106.8,94.6,70.6,-3.7,-6.1,97.8,103.9,-6.8
Trine2022,100.3,88.3,68.8,-1.3,-0.9,98.6,99.5,-0.9
Wis.-Platteville2022,110,98.2,69.8,3.9,6.4,102,95.7,3.2
UC Santa Cruz2022,99.3,87.6,76.2,5.2,5.9,103.4,97.5,5.9
Hood2022,109.3,97.8,71.7,3.2,4.2,98.4,94.2,4.6
Wash. & Lee2022,109.3,97.9,74.2,1.2,7.9,103.1,95.2,3.9
SUNY Brockport2022,98.8,87.4,75.9,6.7,3.2,101.4,98.2,1.8
Nichols2022,104.2,92.9,82,-1.1,-2,98.3,100.3,-2.6
St. Norbert2022,103.2,92.1,69.9,0.5,0.4,101.6,101.3,2.7
Wooster2022,104.6,93.5,70.7,0.5,4.1,104.5,100.4,2.7
Babson2022,103.5,92.5,74.4,2.1,4.9,99.1,94.1,4.9
Wis.-Whitewater2022,111.3,100.6,72.4,7.9,7.4,106,98.6,4.9
Bethany Lutheran2022,110.7,100,81.9,4.7,3.6,98.9,95.4,3.6
Hamilton2022,106.9,96.4,74.6,-1.7,-0.7,98.1,98.8,-0.7
WashU2022,104.2,93.8,68.7,3.8,-1.1,100.5,101.6,-1.1
Carthage2022,111.9,101.5,72.4,8.5,3.5,98.4,94.9,0.5
Redlands2022,103.7,93.3,82.6,5.3,4,102.5,98.5,5
Suffolk2022,106.3,96.1,68.7,3.1,3.2,100.6,97.4,-0.4
Trinity (TX)2022,100.5,90.4,78.7,6.1,6.2,103.1,96.9,4.1
Muhlenberg2022,105.8,95.8,71.5,6.3,6.4,104.9,98.5,-8.1
Geneva2022,110.4,100.4,70.3,-2.8,-4.3,97.8,102.1,-4.3
Averett2022,95.5,85.6,68.1,-2.7,3.4,101,97.6,1.9
Neumann2022,103.8,93.9,71.7,3.5,4.2,101.7,97.5,4.2
La Roche2022,112.1,102.5,70.7,12.6,8.5,104.2,95.7,8.5
Whitman2022,102.4,92.9,70.8,1.5,1.5,101,99.5,2
Hanover2022,100.3,90.8,69,1.4,0.9,101,100.1,3.9
Ozarks (AR)2022,101.6,92.3,74,-8.7,-5.4,94.1,99.5,-6.4
Hardin-Simmons2022,105.6,96.3,73.9,5.9,7,100.4,93.4,2.6
Hope2022,104.1,95.1,71.3,10,10.1,105.1,94.9,10.1
Bridgewater St.2022,100.1,91.1,86.7,-0.2,0.7,99.3,98.6,0.7
Ripon2022,103.4,94.7,69.9,11.1,13,108.8,95.8,13.2
Penn St. Harrisburg2022,105.9,97.5,68.3,3.8,3.2,98.6,95.4,6.7
SUNY New Paltz2022,105.3,97,79,-1.9,0.1,99,98.9,-2.8
Rose-Hulman2022,98.3,90,69.8,2.9,4.5,103.6,99,5.6
WestConn2022,99.8,92.2,78.2,-13.9,-12.1,87.6,99.6,-16.9
Maryville (TN)2022,102.9,95.3,71.6,17.8,14.2,110.3,96.1,14.2
Franklin & Marshall2022,105.4,97.8,73.1,1.3,3,99.6,96.5,3.7
St. Olaf2022,104.7,97.1,69,5.1,6.4,105,98.6,14.5
Alfred2022,105.2,97.7,69.3,3.3,3.3,100.4,97,0.1
Ohio Wesleyan2022,102.9,95.5,69.1,1.2,2.7,101.1,98.3,3.7
Ithaca2022,107.7,100.3,75.4,0,1.1,101.4,100.2,2
Endicott2022,99.8,92.6,80,5.5,3.3,101.4,98.1,2.2
North Central (IL)2022,103,95.8,73.3,9.5,5.5,103.3,97.8,6.9
Pomona-Pitzer2022,109.3,102.2,67.3,4.6,4.9,101.5,96.6,6.5
Plymouth St.2022,99,92,71.3,-11.3,-9.6,92.2,101.9,-11.8
Vassar2022,101.2,94.4,70,7.9,8.2,102.2,94,5.6
Wis.-Stevens Point2022,105.8,99.1,67.5,6.5,4.7,101,96.3,4
Wesleyan (CT)2022,98.4,91.7,74.2,6.3,11.9,105.6,93.7,9.5
SUNY Cortland2022,106.7,100,68.6,1.4,2,98.7,96.8,7.3
Wartburg2022,100.4,93.7,74.9,4.2,6.4,105.1,98.7,8
Franklin2022,102.6,95.9,70.3,-8.6,-4.3,97.2,101.5,-3
Roger Williams2022,105.2,98.8,74.5,6,1.4,97,95.6,5.6
Worcester St.2022,98.5,92.2,75.5,3.7,4.5,102,97.6,4.5
Allegheny2022,104.7,98.5,74.2,-7.5,-5.6,95,100.7,-6.5
Centenary (LA)2022,99.5,93.4,74.5,9.3,9.2,102,92.8,10.8
St. John Fisher2022,106.3,100.2,73.8,7.4,5.6,105.9,100.3,10.9
Concordia Chicago2022,102.2,96.1,75.7,-0.3,-3,99.4,102.4,-7.1
