Team-year,AdjO,AdjD,AdjT,Win50,OppEM,OppO,OppD,OppEM
Regis (MA)2022,91.4,102,74.1,-16.9,-17.7,87.5,105.2,-17.1
MIT2022,96.3,106.9,78.2,2.7,1.8,100.1,98.3,1.8
Castleton2022,92.9,103.6,68.9,-5.9,-3.7,95.2,98.9,-2.4
Carroll (WI)2022,91.1,101.8,72.2,6,2.4,99.9,97.5,0.3
Austin2022,94,105.1,75,-4.1,-1.4,95.6,97,-1.3
Keuka2022,96.1,107.2,75.6,-15.5,-8.8,93.5,102.2,-4.5
Me.-Presque Isle2022,91.2,102.5,77.7,0.3,-3.4,95.1,98.5,-4.6
Washington Col.2022,94.5,106,72.8,0.5,4.8,97.8,93.1,-7.4
Mount Aloysius2022,91.7,103.3,78.5,-9.5,-6.3,93.4,99.7,-6.3
Purchase2022,88.9,100.4,79.4,-2.7,-5.5,93.8,99.3,-7.5
Pitt.-Bradford2022,96.7,108.4,75,-0.9,-1.8,100.2,102,-1.8
Grove City2022,88.7,100.4,69.3,-2.3,-0.9,99.6,100.5,-5
Salem St.2022,95.1,106.9,73.7,-1.1,-2.3,97.7,100,-2.3
Defiance2022,99,110.8,74.1,-2.5,-2.3,98.3,100.6,-5.3
CCNY2022,89,100.9,76.3,-8.3,-8.3,91,99.3,-6
Goucher2022,78.9,91,75.3,-1.8,0.6,99.4,98.8,-1.7
Muskingum2022,90.2,102.4,71.3,2.4,3.8,101.4,97.5,2
Hendrix2022,88.5,100.8,72.6,3.7,0.7,97.5,96.8,0
Old Westbury2022,98.2,110.6,75.3,-6,-4,95.1,99.1,-4
Brevard2022,93,105.6,70.7,-12.5,-11.3,97.1,108.4,-11.3
Covenant2022,98.7,111.4,68.6,-0.3,1.3,100.8,99.5,1.3
Waynesburg2022,88.6,101.5,69.8,-2.5,-5.3,94.8,100.1,-1.2
Rhode Island Col.2022,91.6,104.6,71.4,-10.4,-3.7,94,97.8,-2.9
Alfred St.2022,90.2,103.3,76.3,-4.7,-5.6,96,101.6,-5.6
CMSV2022,86.5,99.6,79.4,-5.6,1,99.1,98.1,1
York (NY)2022,85.4,98.7,78.5,2.7,1.5,98.8,97.4,5.1
Maine Maritime2022,91.6,105.3,72.5,-21.5,-13.8,88.4,102.2,-11.1
Spalding2022,88.4,102.4,74.1,-2.5,-0.7,96.3,97.1,-0.7
Fitchburg St.2022,82.8,96.8,74.1,-0.9,-0.9,98.8,99.7,-0.9
Bluffton2022,88.8,103.1,67.9,1.6,2.7,103.7,101.1,2.3
Millsaps2022,85.2,99.8,75,0.1,-3.6,96.4,100,-4.4
Dominican (IL)2022,93.5,108.2,73.4,-8.1,-14.3,93.9,108.1,-18.5
SUNY Canton2022,87.9,102.6,74.3,-2.7,-2,98.5,100.5,0
Russell Sage2022,84.8,99.8,77.5,-9,-5.5,95.3,100.8,-8.1
Moravian2022,91.5,107,73.5,13.8,7.3,102.9,95.6,5.3
Hartwick2022,89.6,105.1,76,1.2,0.5,99.5,98.9,-0.3
Knox2022,96.2,112,75.4,-4.3,-5.5,96.1,101.6,-5.4
Sarah Lawrence2022,84.3,100.1,70.6,-2.9,-0.9,95.9,96.7,-0.9
Cazenovia2022,93.9,109.8,73.5,-13,-9.5,93.9,103.5,-10.2
Huntingdon2022,93.5,110,71.8,1.3,3.9,101.1,97.1,3.9
Fredonia2022,88.7,105.5,72,8.3,7.2,102.1,94.9,7.4
Saint Elizabeth2022,84,100.9,73.7,-15.8,-11.4,89.4,100.8,-11.4
Penn St.-Berks2022,89.5,106.4,78.3,-9.4,-9.1,94.9,104,-7.5
Hunter2022,90.6,107.7,103,-9,-7.8,90.8,98.6,-9.4
Webster2022,82.8,100.2,68.6,6.6,3.6,100.5,97,4.8
Gallaudet2022,87,104.4,73.3,2.8,2.2,100,97.7,1.9
Wells2022,86.5,104,77.7,-15.7,-14.4,94,108.5,-14
Rutgers-Camden2022,83.2,100.8,73.6,-8.2,-4.6,95.4,100,-14.6
Cabrini2022,83.1,101.4,73.9,-11.9,-10.2,90.9,101.1,-10.2
Penn College2022,89.6,108.5,78.7,-8.8,-9.9,92.6,102.5,-11.8
Willamette2022,93.2,112.3,83.2,-1.1,-1.3,100.8,102.2,-0.2
Warren Wilson2022,92.3,112.1,86.6,-1,-3.5,98.3,101.8,-3.5
Clarks Summit2022,83.9,103.8,81.3,-6,-1.5,97.6,99.1,-1.5
New England Col.2022,85,105.1,76.5,-4.2,-4.4,96.8,101.2,-4.4
Beloit2022,78.9,99.4,71,-11.7,-14,92.9,106.8,-17
Framingham St.2022,84.1,105.2,71.1,-8,-9.2,93.3,102.4,-9.2
FDU-Florham2022,81.3,102.8,66.1,-4.4,-2.9,97.1,100,-6.1
Elms2022,84.3,105.9,70.4,-10,-6.6,93.1,99.7,-6.1
St. Josephs (Brkln)2022,86.7,108.5,76.4,-6.5,-7.4,93.9,101.3,-9.1
Rivier2022,83.6,105.5,72.5,-12.8,-13.7,90.1,103.8,-15.4
Pratt2022,78.9,100.9,77.8,-8.7,-6.3,95.5,101.8,-6.3
NVU-Lyndon2022,89.6,112.2,79.2,0.7,-2.7,96.2,98.9,-4
John Jay2022,82,104.7,73,-8.8,-5.9,94.4,100.3,-5.2
Elmira2022,93.4,116.4,72.3,-9.2,-6.3,96.3,102.7,-12.8
Bethany (WV)2022,87,110.3,75,-1.5,-2.7,94.9,97.6,-0.6
Valley Forge2022,91,114.3,75.4,-6.2,-10.2,88.9,99.1,-10.2
Northland2022,89.3,113.3,75.9,-7.8,-6.2,93.7,99.8,-6.2
Medgar Evers2022,84.4,108.8,78.8,-13.2,-15.4,88.7,104.1,-15.8
Thomas (ME)2022,88,112.8,79.3,3.9,-0.3,97,97.4,2.3
Curry2022,81.2,106.4,71.9,-8,-11.6,94.2,105.8,-17.9
U New England2022,75.2,101.4,76.3,0.7,-1.7,97.6,99.3,-3.1
Brooklyn2022,74.1,101.5,74.3,-1.5,-2.6,98,100.6,-2.7
Greenville2022,102.3,130.1,104.2,2.6,-0.9,100.3,101.3,-0.2
Finlandia2022,79.6,107.9,86.1,-3.1,-9.9,95.1,105.1,-9.9
Martin Luther2022,76.8,114.9,80,-5.9,-6.4,95.7,102,-6.4
Lesley2022,80.5,119.6,74.2,-15.6,-11.2,90.7,101.9,-11.2
Maranatha Baptist2022,74.1,121.6,74.4,-3.5,-6,97.4,103.4,-6
Randolph-Macon2021,122.8,84.8,65.8,13.9,11.1,105.6,94.5,16.7
Wis.-Oshkosh2021,115.7,86.3,70.8,14,12.2,107.4,95.3,8.1
Wesleyan (CT)2021,116.9,88.5,74.4,8.9,8.9,102.1,93.3,3.1
Johns Hopkins2021,112.6,84.2,70.5,1.2,5.6,102.7,97.1,11.9
WPI2021,112.4,84.1,68.8,8.5,8.1,103.8,95.7,10.4
Chris. Newport2021,115.7,87.9,73.7,11.2,9,104.5,95.5,9.8
Marietta2021,120.8,93.2,72.2,10.8,11.5,106.9,95.4,18.4
Oswego St.2021,111,83.8,72.4,3.1,1.6,100.5,98.9,10
Swarthmore2021,115.2,88.2,72.8,2.4,4.3,100.9,96.6,5.9
Saint Joseph (CT)2021,108.9,82.4,75.9,-3.7,-0.9,98.6,99.5,16.5
Yeshiva2021,115.1,89.7,73.7,-4.9,-3.1,96.3,99.3,4.9
UMass Dartmouth2021,113.3,89.1,76.3,8.3,7.1,103.2,96.2,10.2
Emory2021,115.9,91.8,73.6,15.4,14.1,107.5,93.4,12.9
Wis.-Platteville2021,111.6,87.7,70.1,11.1,9.9,105.9,96,2.8
Williams2021,111.7,88.3,67.6,8,9.5,103.6,94.1,1.4
Wis.-La Crosse2021,111.8,88.9,69.8,12.7,11.6,106.7,95.1,7.9
Rochester (NY)2021,106.5,84.5,70.7,12,11,106.6,95.6,6.2
Saint Johns (MN)2021,115.9,94,65.9,4.8,3.8,102.7,98.8,12.9
WashU2021,106.8,85,69.8,9.6,9.8,104.6,94.9,3.7
Elmhurst2021,111.4,89.7,74.7,7.5,7.3,105.4,98.1,5.8
Rensselaer2021,105.4,83.7,67.2,4.8,4.3,101.4,97.1,6.1
Ill. Wesleyan2021,109.6,88.2,70.2,10.5,9.8,106.3,96.6,11.5
Mount Union2021,110.2,88.8,73.3,6.8,5.6,104,98.4,0.2
Brandeis2021,110.9,90.6,68.5,12.2,13.1,105.6,92.6,10.3
Amherst2021,106,85.9,71.4,8.4,4.9,100.9,96,-8
Keene St.2021,109.6,89.7,75.8,7,6.8,103.3,96.5,7.8
Guilford2021,107.9,88.3,67.7,8.1,7.2,103.9,96.7,4.2
CWRU2021,115.8,96.3,76,9.6,9.9,105.1,95.2,4.8
Calvin2021,113.2,94.1,71,6.8,6.7,103.2,96.5,14.2
Roanoke2021,104.2,85.4,71.1,10.8,8.9,105.4,96.5,5.8
Wabash2021,120.7,102,75.3,1.4,4.1,102.8,98.7,14.9
Stockton2021,111.4,93.4,73,6.9,4.8,100.4,95.6,8.5
Wheaton (IL)2021,113.2,96,72.3,6.8,8.1,104,95.9,5.4
Mary Washington2021,108.3,91.3,70.1,7.8,7.3,103.7,96.4,3.2
Tufts2021,106.7,89.8,72.1,10.1,10.1,103.7,93.6,6.9
Wis.-Whitewater2021,110.6,93.7,70.9,12.7,10,106.6,96.6,1
Mary Hardin-Baylor2021,113.3,96.4,74.4,7.1,4.1,102.5,98.4,9.4
St. Thomas (TX)2021,106.3,89.4,70.8,-0.6,1.3,99.5,98.2,6
Penn St. Harrisburg2021,108.6,91.8,71.6,-3.5,-6.3,94.9,101.2,5.8
Trinity (CT)2021,103,86.3,72.5,6.4,5.6,101.8,96.2,-1.7
Heidelberg2021,111.8,95.6,74.6,8.4,7.3,104.4,97.1,3
Augsburg2021,113.1,97,72.9,0.7,2.8,102.3,99.4,5.6
Babson2021,107.4,91.4,72.6,7.9,9.9,104.3,94.4,12.7
Dubuque2021,110.1,94.3,67.1,8.2,3,101.9,98.9,4.1
Ithaca2021,109.2,93.5,76,6.3,5,101.5,96.5,7.5
Pomona-Pitzer2021,111.8,96.3,69.5,5.4,3.1,102.7,99.6,7
DeSales2021,108.7,93.5,67.8,0.2,-1.3,99.3,100.6,4.5
Whitworth2021,111.7,96.5,71.2,-0.6,1.2,101.4,100.2,6.3
Emerson2021,108.5,93.3,76.4,9,9.4,104.5,95,10.3
Hood2021,115.7,100.7,73.3,3.9,6.3,102,95.7,12.9
Hampden-Sydney2021,108.4,93.5,72.7,10.8,8.6,103.6,95.1,8.5
Trinity (TX)2021,106.3,91.5,78.4,2.2,2.4,100.9,98.6,6.7
Berry2021,106.5,92.1,68.7,1.8,-1.9,99.2,101.1,-3.1
UW-River Falls2021,108.5,94.1,72.1,12.7,10.9,106.6,95.7,1.1
Trine2021,101.2,86.9,69.5,2.4,3.7,102.7,99,6.6
Hope2021,109.1,94.8,72.6,6.6,5.2,102.9,97.7,11.6
Maryville (TN)2021,106.2,92,75.9,0.2,-1.4,100,101.3,4.3
Rowan2021,103.9,90,91.6,4.1,3.7,100.1,96.5,2.3
Middlebury2021,107.3,93.4,72.9,7.7,6.5,101.4,94.9,-0.2
Wash. & Lee2021,109.8,96.2,77.1,4.3,5.5,102.7,97.2,2.9
Susquehanna2021,112.2,98.6,70.9,1,2,100.1,98.1,6.8
Hanover2021,111.5,98.2,69.4,-2.1,-1.5,100.7,102.3,-3.6
Nichols2021,109.9,96.7,79.9,6.5,3.5,100.4,96.9,11.4
Nazareth2021,107.7,94.5,71.3,-2.6,-0.1,98.8,98.9,6.1
Baldwin Wallace2021,107.7,94.6,74.5,8.4,7.7,105.2,97.5,6.3
Coe2021,107.2,94.1,72,3.7,1,101.1,100.1,-1.4
Wis.-Stout2021,113.2,100.2,77.4,9.6,6.6,104.1,97.5,-2.9
Hardin-Simmons2021,108.2,95.4,72,-0.1,2,101,99,1.7
St. John Fisher2021,105.6,92.9,77.3,-4.3,-1.8,98.8,100.6,3.8
North Central (IL)2021,110.2,97.6,70.3,8.7,7.5,104.2,96.6,1.1
Rutgers-Newark2021,99.5,87.1,66.9,4.1,2.6,100,97.4,0.3
Eastern2021,105.4,93.2,75.5,1.8,5.1,101.8,96.7,8.4
Chapman2021,112.4,100.3,69.3,-0.6,2.2,101,98.8,0.4
Salisbury2021,106.2,94.2,72.3,11.8,8.3,103.7,95.4,4
Va. Wesleyan2021,106.8,94.8,68.4,10.8,8.9,105,96.1,9.8
Westfield St.2021,103.4,91.5,77.1,-4.2,-4.2,97,101.2,-1.6
Drew2021,105.3,93.9,74.3,1.2,0.7,99.7,99,3
Utica2021,103.5,92.1,69,-5.9,-3.3,97.2,100.5,-2
Loras2021,112.1,100.7,72.2,1.5,0.6,101.3,100.7,-4.6
Catholic2021,102.4,91.1,70.7,0.8,-2.3,97.7,99.9,-3.1
Lynchburg2021,105,93.8,72.6,9.9,6.9,104,97.2,7.8
Cal Lutheran2021,111.1,100.2,74.4,-3.1,1.5,101,99.5,0.9
Covenant2021,102.9,92.4,68.2,-1.4,-1.5,100,101.4,2.6
Salve Regina2021,99.3,88.9,72.2,1.2,1.1,101,99.9,3.9
Suffolk2021,108.9,98.7,75.2,2,1.7,99.9,98.2,5
LeTourneau2021,103.6,93.6,78.6,2.2,2.5,101.7,99.2,-1.8
Wis.-Eau Claire2021,104.7,94.7,69.6,13.4,11.3,107.2,95.8,4.3
Carnegie Mellon2021,100.6,90.8,75.9,9.1,12.1,107,94.9,4.9
Oglethorpe2021,106.3,96.5,76,-1.4,-1.9,98.3,100.2,-4.3
SUNY Brockport2021,97.7,88.2,77.3,-2.2,-1.4,98.6,100,-2.8
Chatham2021,100.6,91.2,74.8,-4.3,-8.2,94.4,102.6,-6.2
Eastern Conn. St.2021,105,95.6,71.5,5.9,6,101.7,95.7,3.4
Gust. Adolphus2021,108.3,99.1,72.5,4.1,5.7,103.6,97.9,11.1
MIT2021,103.2,93.9,73.6,6.5,6.7,103,96.3,3.8
Vassar2021,103.8,94.5,69.2,4.8,3,100,96.9,-4.8
Wartburg2021,105.5,96.3,75,6.9,4.1,102.8,98.7,6.6
Otterbein2021,107.1,98,67.7,0.4,6.3,104.3,98,0.8
Connecticut Col.2021,102.3,93.2,69.2,7.9,7.5,101.6,94.1,3.7
Hamilton2021,95.7,86.6,71.5,8.9,7.6,102.7,95,3
Millikin2021,99.2,90.2,69.6,4.9,5.3,103.9,98.6,-2.8
Capital2021,102.7,94,70.6,0.4,5.4,104.4,99,-5
NYU2021,106.6,98,72.1,6.4,5.8,102.7,96.9,-8.8
St. Olaf2021,104.8,96.3,69.8,4.1,4,103.3,99.4,3.8
Plymouth St.2021,104,95.6,73.3,5.6,4.7,101.6,97,-0.9
Claremont-M-S2021,102.1,93.7,70.7,0.8,2.2,102.2,99.9,2.5
N.C. Wesleyan2021,106.3,98,74.3,2,-0.1,99.7,99.8,9.1
Buena Vista2021,106.9,98.6,73,10.5,5.9,103.3,97.3,10.4
Wooster2021,101.8,93.5,74.2,0.2,-0.9,101.3,102.2,-0.9
Colby2021,103.4,95.3,72.3,8.9,8.3,102.3,94.1,2
Worcester St.2021,101.8,93.8,75.6,2.5,0.9,99.7,98.8,8.4
Neumann2021,104.4,96.4,69.3,-2.1,-0.1,99.6,99.7,6.9
East Tex. Baptist2021,105.3,97.4,70.8,3.8,2.6,101.6,99,4.6
Montclair St.2021,103.2,95.3,76.7,4.1,2.6,100.4,97.7,-8.7
Albertus Magnus2021,105.8,98,77.9,-4.7,-0.3,97.7,98,3.3
Averett2021,100,92.2,67.9,2,2.2,101.8,99.6,10.7
Skidmore2021,101.1,93.4,73.2,5.6,4.4,100.1,95.7,-1.8
Pacific Lutheran2021,102.9,95.4,70.6,-1.3,1.5,101.8,100.4,6.7
Alvernia2021,103.9,96.5,76.2,1.8,2.8,100.3,97.5,1.4
Texas-Dallas2021,104.6,97.4,71.6,4.1,3.5,101.9,98.4,7
Augustana (IL)2021,103.1,96,73.9,10.5,8.9,104.9,96,6.2
New Jersey City2021,101,94,75,7.2,5.6,101.1,95.6,15
Hendrix2021,101,94,72.1,-3.4,-1.3,99.4,100.6,-2.2
Stevens2021,94.5,87.5,73.4,0.8,2.3,100.4,98.1,13.2
Albion2021,102.5,95.6,72.3,-0.9,3.1,102.6,99.5,4.9
Northwestern-St. Paul2021,108.3,101.5,70.7,-5.6,-8.5,95.4,103.9,-3.9
Clark (MA)2021,99.2,92.5,78.6,-0.4,2.3,100.1,97.8,-5.8
Endicott2021,102.7,96.1,73.3,1.6,0.1,99.8,99.7,-2.3
Bates2021,98.3,91.7,76.5,7.9,8.6,103.1,94.5,1.6
Linfield2021,106.7,100.2,71.4,-2.1,-0.3,100.5,100.7,2.2
Hobart2021,104.5,97.9,72.8,7.5,6.2,101.6,95.3,9.3
Scranton2021,104.1,97.6,71.6,0.8,1.1,100.4,99.3,5.5
Alfred2021,101.2,94.8,68.9,-4.2,-3,97.7,100.6,-0.5
SUNY Cortland2021,109.6,103.3,67.7,-0.8,-0.5,98.3,98.9,0.3
Rhode Island Col.2021,109.4,103.1,75.2,5.5,2.8,100.1,97.3,-6.3
Me.-Farmington2021,107.9,101.7,76.3,-10,-7.6,94.5,102.1,1.1
SUNY Oneonta2021,98.8,92.7,74.5,-2.9,-0.6,99.2,99.8,-5.3
Penn St.-Behrend2021,103.9,97.9,64.9,-4.9,-4.9,98,102.9,-2.8
Transylvania2021,105.7,99.7,71.8,-0.6,1,101.9,100.9,1.6
Wash. & Jeff.2021,102,96.1,82.7,-4.9,-6.4,95.1,101.5,-2.7
Marymount (VA)2021,100.2,94.4,73.6,-2.5,0.5,98.8,98.3,6.4
St. Norbert2021,100,94.2,69.8,2.1,0.8,101,100.2,6.2
UChicago2021,103.3,97.5,69.6,17,11.6,106.9,95.3,3.7
Western Conn. St.2021,99.4,93.7,72.8,5.4,1.7,100.1,98.4,-9.4
UMass Boston2021,96.1,90.4,71.9,6.1,5.3,102.9,97.5,1.6
Wis. Lutheran2021,104.5,98.9,75.3,-3.7,-4.5,97.1,101.6,-5.5
Carleton2021,103.3,97.7,70.4,0.7,1,100.8,99.8,-4
Benedictine (IL)2021,99.6,94.1,70.6,0.4,-0.1,100.1,100.2,9
Concordia Wisconsin2021,106.7,101.4,77.2,3.7,1.1,100.3,99.2,14.9
Penn St.-Altoona2021,104.5,99.4,80.3,-4.4,-2.8,98.9,101.7,2.1
Farmingdale St.2021,103.6,98.5,72.9,-4.2,-3.1,96.9,99.9,0.3
St. Lawrence2021,95.8,90.9,67.4,5,2.9,100.5,97.6,-3.2
Ripon2021,100.3,95.5,68.8,1.4,-1.2,100.6,101.8,8.9
Cornell College2021,103.8,99.3,70.6,-3.5,-3.9,98.7,102.6,2.2
Rose-Hulman2021,99.2,94.9,67.3,0.4,1.1,102.3,101.2,5.8
Bethel (MN)2021,102.3,98,70.5,0.7,2.7,102.1,99.3,7.3
Concordia (TX)2021,106.4,102.2,80,4.6,3.5,101.8,98.3,2.6
Wm. Paterson2021,100.8,96.6,76.6,6.2,3,99.3,96.3,-3.2
Anderson (IN)2021,99.3,95.3,71.4,-0.4,0.9,102.2,101.3,3.9
Widener2021,100.1,96.1,73.5,3.7,6.3,104.1,97.9,8.4
Salem St.2021,104.1,100.2,77.9,0.1,-2.4,96.3,98.7,2.6
Ursinus2021,109.3,105.4,75,0.4,3.6,99.9,96.4,-3.4
Lancaster Bible2021,105,101.2,77,-4.2,-7.7,94.2,102,-1.2
Gettysburg2021,95.7,92,73.2,0.4,4.2,101.9,97.7,-1.6
Pfeiffer2021,107.3,103.6,78.8,7.5,2.7,100.8,98.1,16.1
Union (NY)2021,97.9,94.1,73.6,5.6,4.3,100.3,96,1.5
Centenary (LA)2021,96.6,93,74.5,-3.2,-1.3,97.6,98.9,-10.7
Marian (WI)2021,105.2,101.6,71.1,-3.5,-3.7,97.7,101.4,-1.8
Carthage2021,105.6,102.4,73.7,8.7,4.3,102.1,97.7,-5.9
Manhattanville2021,100.4,97.3,67.7,-5.1,-3.1,96.3,99.5,1.9
Ohio Wesleyan2021,102.3,99.4,72.2,0.4,1.1,102.4,101.4,6.7
Bethany Lutheran2021,100.2,97.3,80.5,-3.8,-4.6,98.4,103,3.9
Grinnell2021,108.9,106.4,88.6,-5.1,-5.3,98,103.4,-1.8
Mt. St. Joseph2021,106.1,103.7,67.4,0.2,0.8,101.6,100.8,1.2
Kean2021,104,101.7,73.4,5.5,1.2,97.7,96.4,-9.2
Schreiner2021,100.8,98.5,74.9,-0.5,1.7,99.8,98.1,3.9
Southern Va.2021,101.7,99.4,72.6,1.8,0.8,100.1,99.3,5.7
Roger Williams2021,104,101.8,73.8,0.7,1.5,100.7,99.3,4.6
Lasell2021,99.6,97.5,74.3,-4.9,-1.4,98.2,99.6,5.6
LaGrange2021,103.7,101.7,75.1,1.8,0.6,100.2,99.6,3.8
Albright2021,96.7,94.8,75.6,3.9,5.8,102.9,97.1,6.7
Birmingham-So.2021,102.8,101,77.7,0.7,0.3,100.4,100.1,-1.5
York (PA)2021,101.2,99.6,71.4,2.8,4.2,101.3,97.1,3.1
Neb. Wesleyan2021,103.1,101.6,73,5.3,0.8,100.9,100.1,-4.8
SUNY Poly2021,97.6,96.1,72.8,-9.7,-7.5,95,102.5,-2
SUNY New Paltz2021,100.2,98.8,76.9,4.7,0.8,99.4,98.6,-0.9
Haverford2021,96.6,95.3,72.1,0.4,3.8,101.1,97.3,0.2
La Roche2021,106.1,104.8,72.4,-4.4,-1.5,100.5,102.1,6.2
Gordon2021,101.2,99.9,76.5,2.9,0.6,99.9,99.3,4
Illinois Col.2021,100.7,99.4,71,-3.5,-5.5,97.6,103.1,-3.9
Messiah2021,96.3,95.1,70.3,1.8,4.3,101.6,97.3,3.1
Husson2021,99.4,98.3,75,-0.7,-3.3,97.9,101.2,8
Redlands2021,99.2,98.2,77.1,-2.2,1.5,101,99.5,0.1
TCNJ2021,96.5,95.6,71.2,7.4,5,101.3,96.4,4.6
Lycoming2021,98.6,97.8,71.1,-1.6,-0.2,98.7,98.9,3.6
Macalester2021,101.4,100.6,68.4,4.1,2,101.9,99.9,-12.5
Juniata2021,92.4,91.8,70.6,-1,-1.9,99,100.9,-3.9
Muhlenberg2021,101.5,101,71.3,1.2,4.5,101.8,97.3,2.6
Denison2021,99,98.5,70.8,0.4,1.9,103.3,101.4,7.7
East. Mennonite2021,99.2,98.7,72.7,7.5,6.4,103.2,96.8,5.3
DePauw2021,105.2,104.8,67,1.6,1.5,101.4,99.9,6.8
Concordia Chicago2021,97,96.5,72.7,-0.4,0,100.2,100.3,5.5
St. Josephs (L.I.)2021,98.9,98.6,70.4,-5.4,-6.2,95.1,101.4,-13
Wittenberg2021,101.8,101.6,71.2,0.4,0.8,101.3,100.6,4
Western New Eng.2021,102.5,102.2,74.5,2,0.6,99.4,98.8,-1.8
Baruch2021,97.9,97.7,73.6,-11.2,-7.6,94.1,101.7,-3.1
Arcadia2021,100.7,100.7,72.9,-1.9,-1.9,98.1,100,1.3
Sul Ross St.2021,96.9,96.8,74.1,4.1,2.3,101.1,98.8,-0.9
Stevenson2021,99.8,99.9,72.1,1.5,-0.4,98.1,98.5,-12.5
Merchant Marine2021,95.8,95.9,70.4,-4.9,-5.9,94.9,100.7,-2.8
Wentworth2021,96.7,96.9,72.1,2,0.9,100.4,99.5,0.7
Franklin & Marshall2021,97.5,97.7,71.7,3.5,5.1,102.1,97,4.4
Emmanuel (MA)2021,98.6,98.8,72.1,-7.5,-4.8,96.3,101.1,-1
Fontbonne2021,96.6,96.9,76.3,-9.8,-8.9,96,104.9,6
McMurry2021,100.7,101,81.4,4.1,3.3,101.8,98.5,1.7
Muskingum2021,102.9,103.2,73,8.4,6.9,103.7,96.8,1.8
Whitman2021,101.3,101.8,74,-2.1,1.6,102.1,100.5,3.1
Texas Lutheran2021,96.4,96.9,72,2.2,1.4,99.5,98.1,3.1
Rockford2021,104.8,105.3,76.8,-3.7,-6,95.9,101.9,-14.4
New England Col.2021,96.7,97.2,82.7,-2.9,-4.9,97.8,102.7,-0.6
Lehman2021,97.1,97.6,74.4,-12.2,-11.7,92.1,103.8,-13.1
Centre2021,101.5,102.2,69.1,-1.4,-1.6,98.4,100,-3.9
Bowdoin2021,97.1,97.8,74.1,7.9,4.9,101.1,96.2,-5
Wis.-Stevens Point2021,98.7,99.6,69.9,14,13.5,108.1,94.6,5
Piedmont2021,91.7,93.2,71.1,-0.6,-2.7,100.1,102.8,-2.2
John Carroll2021,105.8,107.5,77.4,8.4,5.3,103.5,98.2,-3.5
Coast Guard2021,96.2,97.9,78.1,8.9,7.6,103.5,96,4.6
Delaware Valley2021,93.7,95.6,77.5,-2.2,-3.5,98.2,101.7,-3.3
Crown (MN)2021,98.9,100.8,73.4,-5,-5.4,98,103.4,1.2
George Fox2021,98.7,100.6,75.2,-0.6,0.6,101.2,100.6,1.3
Lebanon Valley2021,98.1,100.2,70.8,1.8,4.5,102,97.5,2.1
Franklin2021,103.2,105.3,71.1,2.4,0.1,100.1,100,-1.4
Pacific (OR)2021,97.4,99.5,76.4,-0.6,0.4,101.6,101.2,1.2
Gwynedd Mercy2021,94.9,97.3,70.6,-6.8,-4.2,96.4,100.7,-3.9
Carroll (WI)2021,99.2,101.6,70.1,6.8,5.3,102.7,97.4,-4.5
Geneva2021,107.8,110.2,72.5,-2.4,-4.1,96,100.1,1.4
Eastern Nazarene2021,101.9,104.5,72.5,-0.5,-5,96.5,101.5,0.5
Bridgewater (VA)2021,99.2,101.7,74.1,11.6,8.7,103.8,95,0.1
St. Marys (MD)2021,96.9,99.6,71.2,-4.2,-6.1,94.6,100.7,6.7
Waynesburg2021,90.6,93.3,67.1,-2.4,-6.2,96.5,102.8,-4
Dickinson2021,92.7,95.5,71,1.2,4.1,101.6,97.5,-1.4
Westminster (PA)2021,97.5,100.3,73.7,-6.3,-7.1,94.7,101.9,-6.1
McDaniel2021,99.6,102.5,65,0.7,2.8,100.5,97.8,-5.8
SUNY Potsdam2021,97.6,100.5,72.7,1.4,-0.6,98.4,99,-4.8
Mitchell2021,102.6,105.6,80.5,-1.2,-2.2,97.2,99.4,2.3
SUNY Delhi2021,96.2,99.2,78.3,-11.7,-8.8,93.6,102.3,-3.2
Whittier2021,98.7,101.7,80,0.8,1.8,101.6,99.8,-2.6
Wilmington (OH)2021,94.1,97.2,72.3,7.1,7.1,105.8,98.7,0.8
Ohio Northern2021,97.6,100.7,70.5,8.7,7.5,105.5,97.9,-1
Saint Marys (MN)2021,96.5,99.6,71,4.1,3.1,102.5,99.4,3.8
Springfield2021,101.1,104.4,72,9.1,10,104.3,94.3,10.4
Mary Baldwin2021,101.6,104.9,76.5,-3,-3.1,97.9,101,-5.6
North Park2021,96.5,100,68.8,7.5,6.8,105.1,98.3,-1.4
Lawrence2021,103.1,106.8,72.6,1.4,-3.9,99,102.8,0.5
Edgewood2021,97.1,100.8,76.5,3.7,2,100.9,98.9,13.2
Earlham2021,96.6,100.3,71.4,-2.1,-1.7,100.1,101.8,-6.9
SUNY Geneseo2021,99.3,103,69.9,3.8,0.7,98.3,97.5,2.5
York (NY)2021,99.1,102.9,77.9,-9,-6.4,95,101.4,0.8
Anna Maria2021,94.7,98.6,79.2,-5.8,-3,97.4,100.3,-1.3
Wheaton (MA)2021,103.7,107.7,74.8,4.4,5.7,101.5,95.8,0.1
Lewis & Clark2021,98.1,102.1,72.6,-0.6,1.3,101.4,100,6.1
Ramapo2021,97.9,102,70.3,5.8,2.5,99.4,96.8,-3.9
Caltech2021,93.2,97.3,70.8,0.8,1.8,102.2,100.3,-3.5
RIT2021,103.9,108.2,74,4.8,3.3,100.3,97,-3.2
Wilkes2021,96.5,100.8,72.8,0.8,-1.5,97.8,99.3,0.7
Southern Me.2021,97.7,102.1,72.9,6.1,4.2,101.1,97,-3.2
