T1,T2,T1 PTS,T2 PTS,T1 FGA,T1 FGM,T2 FGA,T2 FGM,T1 PCT,T2 PCT,RESULT,DIFF
Earlham2022,DePauw2022,63,80,64,25,55,30,0.390625,0.5454545455,0,-17
Earlham2022,Wabash2022,65,57,55,26,58,18,0.4727272727,0.3103448276,1,8
Earlham2022,Manchester2022,60,75,51,25,59,27,0.4901960784,0.4576271186,0,-15
Earlham2022,Rose-Hulman2022,65,77,56,25,50,23,0.4464285714,0.46,0,-12
Earlham2022,Anderson (IN)2022,83,87,71,32,55,33,0.4507042254,0.6,0,-4
Earlham2021,Rockford2021,78,84,63,29,71,31,0.4603174603,0.4366197183,0,-6
Earlham2021,DePauw2021,58,67,60,24,57,24,0.4,0.4210526316,0,-9
Earlham2021,Adrian2021,94,85,67,34,69,35,0.5074626866,0.5072463768,1,9
Earlham2021,North Park2021,63,66,54,27,48,27,0.5,0.5625,0,-3
Earlham2021,Manchester2021,71,75,61,26,65,27,0.4262295082,0.4153846154,0,-4
Earlham2021,Rose-Hulman2021,57,64,57,21,44,21,0.3684210526,0.4772727273,0,-7
Earlham2021,Anderson (IN)2021,56,62,61,22,53,22,0.3606557377,0.4150943396,0,-6
Earlham2021,Berea2021,86,65,61,31,62,25,0.5081967213,0.4032258065,1,21
Earlham2021,Kenyon2021,75,73,59,25,56,26,0.4237288136,0.4642857143,1,2
Earlham2021,Franklin2021,57,72,55,24,50,25,0.4363636364,0.5,0,-15
Earlham2021,Hanover2021,47,58,56,20,48,17,0.3571428571,0.3541666667,0,-11
Earlham2021,Defiance2021,66,63,56,27,55,22,0.4821428571,0.4,1,3
Earlham2021,Manchester2021,73,71,69,29,57,24,0.4202898551,0.4210526316,1,2
Earlham2021,Bluffton2021,60,59,52,24,48,21,0.4615384615,0.4375,1,1
Earlham2021,Franklin2021,77,85,70,34,62,32,0.4857142857,0.5161290323,0,-8
Earlham2021,Anderson (IN)2021,78,68,57,29,59,26,0.5087719298,0.4406779661,1,10
Earlham2021,Rose-Hulman2021,66,59,58,24,53,21,0.4137931034,0.3962264151,1,7
Earlham2021,Hanover2021,75,85,58,26,54,30,0.4482758621,0.5555555556,0,-10
Earlham2021,Bluffton2021,76,68,55,27,50,28,0.4909090909,0.56,1,8
Earlham2021,Mt. St. Joseph2021,67,70,61,25,57,25,0.4098360656,0.4385964912,0,-3
Earlham2021,Defiance2021,67,60,48,24,55,23,0.5,0.4181818182,1,7
Earlham2021,Transylvania2021,72,84,61,28,60,28,0.4590163934,0.4666666667,0,-12
Earlham2021,Rose-Hulman2021,56,66,50,19,45,25,0.38,0.5555555556,0,-10
Ohio Wesleyan2021,Capital2021,56,61,60,22,56,21,0.3666666667,0.375,0,-5
Ohio Wesleyan2021,Muskingum2021,86,82,64,32,61,30,0.5,0.4918032787,1,4
Ohio Wesleyan2021,Wheaton (IL)2021,62,84,61,26,58,29,0.4262295082,0.5,0,-22
Ohio Wesleyan2021,Neb. Wesleyan2021,83,77,57,27,72,32,0.4736842105,0.4444444444,1,6
Ohio Wesleyan2021,Heidelberg2021,81,72,58,25,70,32,0.4310344828,0.4571428571,1,9
Ohio Wesleyan2021,Kenyon2021,64,58,60,25,66,23,0.4166666667,0.3484848485,1,6
Ohio Wesleyan2021,Denison2021,71,74,57,29,57,28,0.5087719298,0.4912280702,0,-3
Ohio Wesleyan2021,Wabash2021,58,86,62,21,67,33,0.3387096774,0.4925373134,0,-28
Ohio Wesleyan2021,Allegheny2021,79,70,69,32,76,27,0.4637681159,0.3552631579,1,9
Ohio Wesleyan2021,Ohio Northern2021,83,87,64,31,67,34,0.484375,0.5074626866,0,-4
Ohio Wesleyan2021,Otterbein2022,60,64,56,25,52,24,0.4464285714,0.4615384615,0,-4
Ohio Wesleyan2021,Hiram2021,89,83,62,33,65,34,0.5322580645,0.5230769231,1,6
Ohio Wesleyan2021,Wooster2021,82,81,56,29,64,26,0.5178571429,0.40625,1,1
Ohio Wesleyan2021,Oberlin2021,79,78,61,29,59,29,0.4754098361,0.4915254237,1,1
Ohio Wesleyan2021,DePauw2021,70,63,57,25,54,19,0.4385964912,0.3518518519,1,7
Ohio Wesleyan2021,Wittenberg2021,71,77,67,29,59,26,0.4328358209,0.4406779661,0,-6
Ohio Wesleyan2021,Denison2021,76,65,62,28,63,26,0.4516129032,0.4126984127,1,11
Ohio Wesleyan2021,Kenyon2021,79,60,61,30,64,24,0.4918032787,0.375,1,19
Ohio Wesleyan2021,Allegheny2021,78,64,69,30,65,24,0.4347826087,0.3692307692,1,14
Ohio Wesleyan2021,Oberlin2021,69,58,59,28,57,23,0.4745762712,0.4035087719,1,11
Ohio Wesleyan2021,Wooster2021,69,74,61,28,69,30,0.4590163934,0.4347826087,0,-5
Ohio Wesleyan2021,Wabash2021,74,88,55,27,62,29,0.4909090909,0.4677419355,0,-14
Ohio Wesleyan2021,Hiram2021,79,55,74,33,67,23,0.4459459459,0.3432835821,1,24
Ohio Wesleyan2021,Wittenberg2021,67,71,66,25,55,23,0.3787878788,0.4181818182,0,-4
Ohio Wesleyan2021,DePauw2021,74,65,48,24,53,20,0.5,0.3773584906,1,9
Ohio Wesleyan2021,DePauw2021,71,81,61,28,52,27,0.4590163934,0.5192307692,0,-10
Ohio Wesleyan2022,Buffalo St.2021,79,63,67,33,59,25,0.4925373134,0.4237288136,1,16
Ohio Wesleyan2022,John Carroll2021,55,70,58,21,62,27,0.3620689655,0.435483871,0,-15
